miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31824	8298.534458	N
hsa-let-7a-2	63230	16488.069814	N
hsa-let-7a-3	31723	8272.197354	N
hsa-let-7b	46275	12066.826358	N
hsa-let-7c	1601	417.482204	N
hsa-let-7d	2133	556.208333	N
hsa-let-7e	6844	1784.664713	N
hsa-let-7f-1	104	27.119394	N
hsa-let-7f-2	47985	12512.731773	N
hsa-let-7g	2313	603.145745	N
hsa-let-7i	1847	481.630001	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	32	8.344429	N
hsa-mir-100	54023	14087.221185	N
hsa-mir-101-1	20840	5434.309266	N
hsa-mir-101-2	127	33.116952	N
hsa-mir-103-1	83599	21799.559518	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	37	9.648246	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	144	37.549930	N
hsa-mir-105-2	120	31.291608	N
hsa-mir-106a	6	1.564580	Y
hsa-mir-106b	2565	668.858122	N
hsa-mir-107	316	82.401235	Y
hsa-mir-10a	22630	5901.075753	N
hsa-mir-10b	35972	9380.181043	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	74	19.296492	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.260763	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	77	20.078782	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.825344	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.564580	N
hsa-mir-1229	1	0.260763	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.260763	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	9	2.346871	N
hsa-mir-1246	1	0.260763	N
hsa-mir-1247	1	0.260763	N
hsa-mir-1248	3	0.782290	N
hsa-mir-1249	1	0.260763	N
hsa-mir-1250	1	0.260763	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	6	1.564580	N
hsa-mir-1255a	1	0.260763	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.260763	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2787	726.747597	N
hsa-mir-125b-1	1868	487.106032	N
hsa-mir-125b-2	10	2.607634	N
hsa-mir-126	11456	2987.305516	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	45	11.734353	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1100	286.839741	N
