miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	65552	7914.298788	N
hsa-let-7a-2	131708	15901.520392	Y
hsa-let-7a-3	65407	7896.792483	N
hsa-let-7b	66351	8010.764567	N
hsa-let-7c	9043	1091.789784	Y
hsa-let-7d	3035	366.425080	N
hsa-let-7e	16010	1932.937570	N
hsa-let-7f-1	246	29.700352	N
hsa-let-7f-2	131158	15835.117165	N
hsa-let-7g	6718	811.085234	N
hsa-let-7i	4804	580.002004	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	146	17.627038	N
hsa-mir-100	55756	6731.596949	N
hsa-mir-101-1	86321	10421.805371	N
hsa-mir-101-2	729	88.014459	N
hsa-mir-103-1	182263	22005.184281	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	74	8.934252	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	2	0.241466	N
hsa-mir-105-2	2	0.241466	N
hsa-mir-106a	51	6.157390	Y
hsa-mir-106b	2914	351.816370	N
hsa-mir-107	777	93.809650	Y
hsa-mir-10a	109526	13223.417883	N
hsa-mir-10b	12038	1453.385538	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.120733	N
hsa-mir-1180	172	20.766100	N
hsa-mir-1181	2	0.241466	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.120733	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	63	7.606188	N
hsa-mir-1224	5	0.603666	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.603666	N
hsa-mir-1227	2	0.241466	N
hsa-mir-1228	4	0.482933	N
hsa-mir-1229	7	0.845132	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.120733	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	13	1.569531	N
hsa-mir-1246	0	0.000000	N
