miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29594	5609.075808	N
hsa-let-7a-2	58782	11141.200722	N
hsa-let-7a-3	29683	5625.944354	N
hsa-let-7b	44393	8413.992781	N
hsa-let-7c	2856	541.309742	N
hsa-let-7d	2740	519.323772	N
hsa-let-7e	9648	1828.626188	N
hsa-let-7f-1	114	21.606901	N
hsa-let-7f-2	47168	8939.950251	N
hsa-let-7g	4558	863.896990	N
hsa-let-7i	3011	570.687547	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	34	6.444164	N
hsa-mir-100	45741	8669.484914	N
hsa-mir-101-1	37822	7168.563399	N
hsa-mir-101-2	309	58.566075	N
hsa-mir-103-1	112866	21391.969662	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	43	8.149972	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	14	2.653479	N
hsa-mir-105-2	25	4.738356	N
hsa-mir-106a	11	2.084876	Y
hsa-mir-106b	3239	613.901350	N
hsa-mir-107	408	77.329963	Y
hsa-mir-10a	85626	16229.057416	N
hsa-mir-10b	11860	2247.875890	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.379068	N
hsa-mir-1180	124	23.502244	N
hsa-mir-1181	1	0.189534	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.379068	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	1	0.189534	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	32	6.065095	N
hsa-mir-1224	1	0.189534	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.463945	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.326740	N
hsa-mir-1229	4	0.758137	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.379068	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	2	0.379068	N
hsa-mir-1246	1	0.189534	N
hsa-mir-1247	3	0.568603	N
hsa-mir-1248	6	1.137205	N
hsa-mir-1249	9	1.705808	N
hsa-mir-1250	2	0.379068	N
hsa-mir-1251	2	0.379068	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	23	4.359287	N
hsa-mir-1255a	6	1.137205	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4836	916.587505	N
