miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	34321	5429.401409	N
hsa-let-7a-2	69064	10925.560994	N
hsa-let-7a-3	34840	5511.504475	N
hsa-let-7b	69471	10989.946250	N
hsa-let-7c	3104	491.036449	N
hsa-let-7d	1972	311.960012	N
hsa-let-7e	7362	1164.629619	N
hsa-let-7f-1	104	16.452252	N
hsa-let-7f-2	41482	6562.233887	N
hsa-let-7g	2776	439.148577	N
hsa-let-7i	3443	544.664463	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	32	5.062231	N
hsa-mir-100	36348	5750.062131	N
hsa-mir-101-1	25077	3967.049303	N
hsa-mir-101-2	221	34.961036	N
hsa-mir-103-1	81178	12841.931982	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	43	6.802373	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	42	6.644179	N
hsa-mir-105-2	62	9.808073	N
hsa-mir-106a	166	26.260326	Y
hsa-mir-106b	1542	243.936277	N
hsa-mir-107	288	45.560083	Y
hsa-mir-10a	275743	43621.090079	N
hsa-mir-10b	34355	5434.780029	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	67	10.599047	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.158195	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.158195	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.316389	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.790974	N
hsa-mir-1229	2	0.316389	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.158195	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.158195	N
hsa-mir-124-2	1	0.158195	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	0.790974	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.423753	N
hsa-mir-1248	4	0.632779	N
hsa-mir-1249	6	0.949168	N
hsa-mir-1250	1	0.158195	N
hsa-mir-1251	2	0.316389	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	5	0.790974	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.158195	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.316389	N
hsa-mir-125a	5349	846.183623	N
hsa-mir-125b-1	3184	503.692028	N
hsa-mir-125b-2	29	4.587647	N
hsa-mir-126	9238	1461.402937	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.316389	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.158195	N
hsa-mir-1266	21	3.322089	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	329	52.046067	N
hsa-mir-127	2448	387.260705	N
hsa-mir-1270-1	7	1.107363	N
hsa-mir-1270-2	4	0.632779	N
hsa-mir-1271	14	2.214726	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	7	1.107363	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.316389	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	287	45.401888	N
hsa-mir-128-2	204	32.271725	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.158195	N
hsa-mir-1284	1	0.158195	N
hsa-mir-1285-1	1	0.158195	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.158195	N
hsa-mir-1287	116	18.350589	N
hsa-mir-1288	1	0.158195	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.474584	N
hsa-mir-129-2	6	0.949168	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	2	0.316389	N
hsa-mir-1296	34	5.378621	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	28	4.429453	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
