miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37843	7663.267408	N
hsa-let-7a-2	76231	15436.898178	N
hsa-let-7a-3	38149	7725.232892	N
hsa-let-7b	53256	10784.424307	N
hsa-let-7c	2673	541.286732	N
hsa-let-7d	1653	334.735117	N
hsa-let-7e	4634	938.392336	N
hsa-let-7f-1	124	25.110196	N
hsa-let-7f-2	41957	8496.358920	N
hsa-let-7g	3115	630.792431	N
hsa-let-7i	2245	454.616054	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	19	3.847530	N
hsa-mir-100	50885	10304.293054	Y
hsa-mir-101-1	48789	9879.849736	N
hsa-mir-101-2	226	45.765358	N
hsa-mir-103-1	85411	17295.862710	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	38	7.695060	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	41	8.302565	Y
hsa-mir-106b	1996	404.193160	N
hsa-mir-107	392	79.380621	Y
hsa-mir-10a	96394	19519.937597	N
hsa-mir-10b	21086	4269.948380	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.202502	N
hsa-mir-1180	72	14.580114	N
hsa-mir-1181	1	0.202502	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.202502	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.202502	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.405003	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.202502	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.607505	N
hsa-mir-1229	1	0.202502	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	5	1.012508	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	43	8.707568	N
hsa-mir-1248	6	1.215009	N
hsa-mir-1249	5	1.012508	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.202502	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
