miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	45641	5152.117334	N
hsa-let-7a-2	91450	10323.199101	Y
hsa-let-7a-3	45819	5172.210603	N
hsa-let-7b	78151	8821.960995	N
hsa-let-7c	9374	1058.170239	Y
hsa-let-7d	5408	610.474147	N
hsa-let-7e	9265	1045.865934	N
hsa-let-7f-1	233	26.301863	N
hsa-let-7f-2	67499	7619.525600	N
hsa-let-7g	6007	678.091383	N
hsa-let-7i	3361	379.401555	N
hsa-mir-1-1	2	0.225767	N
hsa-mir-1-2	196	22.125172	N
hsa-mir-100	56601	6389.320857	N
hsa-mir-101-1	68493	7731.731832	N
hsa-mir-101-2	748	84.436883	N
hsa-mir-103-1	197995	22350.375135	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	101	11.401237	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.112884	N
hsa-mir-106a	259	29.236835	Y
hsa-mir-106b	5491	619.843480	N
hsa-mir-107	600	67.730120	Y
hsa-mir-10a	229567	25914.334041	N
hsa-mir-10b	68917	7779.594450	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.112884	N
hsa-mir-1180	293	33.074875	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.564418	N
hsa-mir-1185-2	2	0.225767	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	1	0.112884	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	10	1.128835	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	0.903068	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	2.144787	N
hsa-mir-1229	5	0.564418	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.225767	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	3	0.338651	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	168	18.964434	N
hsa-mir-1248	9	1.015952	N
hsa-mir-1249	10	1.128835	N
hsa-mir-1250	1	0.112884	N
hsa-mir-1251	1	0.112884	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.451534	N
hsa-mir-1255a	3	0.338651	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.564418	N
hsa-mir-125a	9668	1091.357998	N
hsa-mir-125b-1	6623	747.627640	N
hsa-mir-125b-2	84	9.482217	N
hsa-mir-126	56564	6385.144166	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	3	0.338651	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.677301	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	77	8.692032	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	3	0.338651	N
hsa-mir-127	2638	297.786760	N
hsa-mir-1270-1	11	1.241719	N
hsa-mir-1270-2	9	1.015952	N
hsa-mir-1271	23	2.596321	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	66	7.450313	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.451534	N
hsa-mir-1277	9	1.015952	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	752	84.888417	N
hsa-mir-128-2	489	55.200048	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	6	0.677301	N
hsa-mir-1283-2	5	0.564418	N
hsa-mir-1284	2	0.225767	N
hsa-mir-1285-1	1	0.112884	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	266	30.027020	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
