miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17179	3332.836677	N
hsa-let-7a-2	34489	6691.088198	N
hsa-let-7a-3	17352	3366.399791	N
hsa-let-7b	29027	5631.425008	N
hsa-let-7c	1430	277.429213	N
hsa-let-7d	2171	421.187987	N
hsa-let-7e	3345	648.951550	N
hsa-let-7f-1	103	19.982664	N
hsa-let-7f-2	22498	4364.756945	N
hsa-let-7g	3542	687.170820	N
hsa-let-7i	2826	548.262207	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	51	9.894329	N
hsa-mir-100	31867	6182.403305	N
hsa-mir-101-1	25795	5004.396186	N
hsa-mir-101-2	197	38.219269	N
hsa-mir-103-1	88495	17168.600135	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	84	16.296541	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	75	14.550483	N
hsa-mir-105-2	68	13.192438	N
hsa-mir-106a	217	42.099398	Y
hsa-mir-106b	4354	844.704051	N
hsa-mir-107	310	60.141997	Y
hsa-mir-10a	110222	21383.778113	N
hsa-mir-10b	32685	6341.100575	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.194006	N
hsa-mir-1180	136	26.384876	N
hsa-mir-1181	1	0.194006	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.388013	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.194006	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.194006	N
hsa-mir-1226	5	0.970032	N
