miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37475	5004.836562	N
hsa-let-7a-2	74381	9933.682410	N
hsa-let-7a-3	37620	5024.201507	N
hsa-let-7b	94335	12598.565899	N
hsa-let-7c	4036	539.013219	N
hsa-let-7d	4661	622.482808	N
hsa-let-7e	8564	1143.733698	N
hsa-let-7f-1	132	17.628777	N
hsa-let-7f-2	37481	5005.637870	N
hsa-let-7g	4061	542.352002	N
hsa-let-7i	4300	574.270773	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	25	3.338784	N
hsa-mir-100	47585	6355.040635	N
hsa-mir-101-1	28726	3836.395866	N
hsa-mir-101-2	235	31.384565	N
hsa-mir-103-1	111788	14929.437480	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	85	11.351864	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.133551	N
hsa-mir-105-2	1	0.133551	N
hsa-mir-106a	134	17.895880	Y
hsa-mir-106b	3388	452.471949	N
hsa-mir-107	329	43.938392	Y
hsa-mir-10a	204969	27373.885130	N
hsa-mir-10b	34962	4669.222038	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.133551	N
hsa-mir-1180	101	13.488686	N
hsa-mir-1181	1	0.133551	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.400654	N
hsa-mir-1185-2	2	0.267103	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.267103	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	0.667757	N
hsa-mir-1224	1	0.133551	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.667757	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.201962	N
hsa-mir-1229	2	0.267103	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.133551	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.133551	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	18	2.403924	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	24	3.205232	N
hsa-mir-1248	19	2.537476	N
hsa-mir-1249	31	4.140092	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.133551	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.534205	N
hsa-mir-1255a	8	1.068411	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.133551	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.068411	N
hsa-mir-125a	7915	1057.058876	N
hsa-mir-125b-1	6576	878.233629	N
hsa-mir-125b-2	54	7.211772	N
hsa-mir-126	13223	1765.949402	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.133551	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.267103	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	59	7.879529	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	411	54.889602	N
hsa-mir-127	5277	704.750435	N
