miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19300	4730.197384	N
hsa-let-7a-2	38615	9464.071087	Y
hsa-let-7a-3	19258	4719.903690	N
hsa-let-7b	42398	10391.238792	N
hsa-let-7c	5742	1407.294994	Y
hsa-let-7d	1604	393.121068	N
hsa-let-7e	2990	732.812963	N
hsa-let-7f-1	64	15.685629	N
hsa-let-7f-2	19591	4801.517977	N
hsa-let-7g	2346	574.976325	N
hsa-let-7i	2680	656.835699	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	90	22.057915	N
hsa-mir-100	34749	8516.561083	Y
hsa-mir-101-1	39372	9649.602663	N
hsa-mir-101-2	187	45.831446	N
hsa-mir-103-1	50991	12497.279524	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	36	8.823166	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	54	13.234749	Y
hsa-mir-106b	1739	426.207940	N
hsa-mir-107	337	82.594638	Y
hsa-mir-10a	112938	27679.742599	N
hsa-mir-10b	11435	2802.580678	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.490176	N
hsa-mir-1180	115	28.185114	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	1.225440	N
hsa-mir-1185-2	1	0.245088	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.980352	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.490176	N
hsa-mir-1229	1	0.245088	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.245088	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	10	2.450879	N
hsa-mir-1246	1	0.245088	N
hsa-mir-1247	161	39.459160	N
hsa-mir-1248	1	0.245088	N
hsa-mir-1249	5	1.225440	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	11	2.695967	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	6	1.470528	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.490176	N
hsa-mir-125a	2762	676.932911	N
hsa-mir-125b-1	4816	1180.343554	N
hsa-mir-125b-2	69	16.911068	N
hsa-mir-126	13133	3218.740013	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	1	0.245088	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.245088	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	2.205792	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	528	129.406436	N
hsa-mir-127	4670	1144.560714	N
hsa-mir-1270-1	2	0.490176	N
hsa-mir-1270-2	5	1.225440	N
hsa-mir-1271	9	2.205792	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	10	2.450879	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.490176	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	179	43.870743	N
hsa-mir-128-2	122	29.900730	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	260	63.722866	N
hsa-mir-1288	3	0.735264	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	12	2.941055	N
hsa-mir-129-2	18	4.411583	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.490176	N
hsa-mir-1292	3	0.735264	N
