miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36953	4225.571149	N
hsa-let-7a-2	74182	8482.702865	Y
hsa-let-7a-3	37393	4275.885097	N
hsa-let-7b	65515	7491.632447	N
hsa-let-7c	5486	627.323447	Y
hsa-let-7d	2383	272.495766	N
hsa-let-7e	6642	759.511909	N
hsa-let-7f-1	186	21.269078	N
hsa-let-7f-2	41662	4764.044738	N
hsa-let-7g	3883	444.020588	N
hsa-let-7i	4956	566.718010	N
hsa-mir-1-1	1	0.114350	N
hsa-mir-1-2	157	17.952931	N
hsa-mir-100	87247	9976.684059	Y
hsa-mir-101-1	60596	6929.145383	N
hsa-mir-101-2	387	44.253404	N
hsa-mir-103-1	200415	22917.431381	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	97	11.091938	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	134	15.322884	Y
hsa-mir-106b	3077	351.854584	N
hsa-mir-107	509	58.204089	Y
hsa-mir-10a	200545	22932.296866	N
hsa-mir-10b	31230	3571.146781	N
hsa-mir-1178	1	0.114350	N
hsa-mir-1179	1	0.114350	N
hsa-mir-1180	80	9.147990	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.343050	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.114350	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.800449	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.143499	N
hsa-mir-1229	1	0.114350	N
hsa-mir-1231	1	0.114350	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	21	2.401347	N
hsa-mir-1246	1	0.114350	N
hsa-mir-1247	65	7.432742	N
hsa-mir-1248	4	0.457400	N
hsa-mir-1249	12	1.372199	N
hsa-mir-1250	1	0.114350	N
hsa-mir-1251	2	0.228700	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.457400	N
hsa-mir-1255a	9	1.029149	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	1.029149	N
hsa-mir-125a	4684	535.614842	N
hsa-mir-125b-1	3940	450.538531	N
hsa-mir-125b-2	54	6.174894	N
hsa-mir-126	25196	2881.159599	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.914799	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	4.116596	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	5	0.571749	N
hsa-mir-127	2945	336.760399	N
