miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13316	3443.320834	N
hsa-let-7a-2	26645	6890.003276	N
hsa-let-7a-3	13719	3547.530679	N
hsa-let-7b	33294	8609.336426	N
hsa-let-7c	3773	975.642048	N
hsa-let-7d	1835	474.503885	N
hsa-let-7e	2171	561.388520	N
hsa-let-7f-1	80	20.686818	N
hsa-let-7f-2	14223	3677.857632	N
hsa-let-7g	2374	613.881320	N
hsa-let-7i	2665	689.129620	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	22	5.688875	N
hsa-mir-100	18337	4741.677241	N
hsa-mir-101-1	27047	6993.954536	N
hsa-mir-101-2	294	76.024056	N
hsa-mir-103-1	79062	20444.264929	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	55	14.222187	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	130	33.616079	Y
hsa-mir-106b	911	235.571138	N
hsa-mir-107	138	35.684761	Y
hsa-mir-10a	214855	55558.328164	N
hsa-mir-10b	12697	3283.256581	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	171	44.218073	N
hsa-mir-1181	1	0.258585	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.258585	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	2.068682	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.517170	N
hsa-mir-1229	2	0.517170	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.258585	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	18	4.654534	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	44	11.377750	N
hsa-mir-1248	6	1.551511	N
hsa-mir-1249	5	1.292926	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.258585	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.258585	N
hsa-mir-1255a	2	0.517170	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.775756	N
hsa-mir-125a	3313	856.692845	N
hsa-mir-125b-1	2451	633.792382	N
hsa-mir-125b-2	43	11.119165	N
hsa-mir-126	22802	5896.260263	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.292926	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	10.343409	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	1468	379.603108	N
hsa-mir-1270-1	4	1.034341	N
hsa-mir-1270-2	1	0.258585	N
hsa-mir-1271	8	2.068682	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	7	1.810097	N
hsa-mir-1275	1	0.258585	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	1.551511	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	146	37.753443	N
hsa-mir-128-2	94	24.307011	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.258585	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	69	17.842380	N
hsa-mir-1288	3	0.775756	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.034341	N
hsa-mir-129-2	9	2.327267	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.292926	N
hsa-mir-1292	1	0.258585	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.258585	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	8	2.068682	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	91	23.531255	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.258585	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.258585	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	23	5.947460	N
hsa-mir-1307	4352	1125.362892	N
hsa-mir-130a	361	93.349266	N
hsa-mir-130b	100	25.858522	N
hsa-mir-132	462	119.466373	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.258585	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	23	5.947460	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	4	1.034341	Y
hsa-mir-134	445	115.070424	N
hsa-mir-135a-1	5	1.292926	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	188	48.614022	N
hsa-mir-136	66	17.066625	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	12	3.103023	N
hsa-mir-138-2	9	2.327267	N
hsa-mir-139	198	51.199874	N
hsa-mir-140	4956	1281.548367	N
hsa-mir-141	6136	1586.678931	N
hsa-mir-142	23438	6060.720465	N
hsa-mir-143	63755	16486.100915	N
hsa-mir-144	182	47.062511	N
hsa-mir-145	5624	1454.283296	N
hsa-mir-1468	10	2.585852	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1004	259.619564	N
hsa-mir-146b	10742	2777.722469	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	6	1.551511	N
hsa-mir-148a	254266	65749.430401	N
hsa-mir-148b	641	165.753128	N
hsa-mir-149	55	14.222187	N
hsa-mir-150	8665	2240.640960	N
hsa-mir-151	3615	934.785582	N
hsa-mir-152	363	93.866436	N
hsa-mir-153-1	7	1.810097	N
hsa-mir-153-2	298	77.058397	N
hsa-mir-1537	1	0.258585	N
hsa-mir-1538	1	0.258585	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	5.947460	N
hsa-mir-155	5525	1428.683359	N
hsa-mir-15a	783	202.472230	N
hsa-mir-15b	881	227.813582	N
hsa-mir-16-1	2221	574.317781	N
hsa-mir-16-2	56	14.480773	N
