miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31295	4194.104693	N
hsa-let-7a-2	62782	8413.940912	N
hsa-let-7a-3	31378	4205.228217	N
hsa-let-7b	66209	8873.221844	N
hsa-let-7c	7324	981.550496	N
hsa-let-7d	4063	544.516612	N
hsa-let-7e	6659	892.428284	N
hsa-let-7f-1	142	19.030608	N
hsa-let-7f-2	34050	4563.325285	N
hsa-let-7g	5553	744.203974	N
hsa-let-7i	7356	985.839084	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	100	13.401836	N
hsa-mir-100	55557	7445.658234	Y
hsa-mir-101-1	45523	6100.917972	N
hsa-mir-101-2	312	41.813729	N
hsa-mir-103-1	155939	20898.689622	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	88	11.793616	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	12	1.608220	N
hsa-mir-105-2	11	1.474202	N
hsa-mir-106a	136	18.226497	Y
hsa-mir-106b	4345	582.309790	N
hsa-mir-107	446	59.772190	Y
hsa-mir-10a	177011	23722.724583	N
hsa-mir-10b	38976	5223.499745	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	156	20.906865	N
hsa-mir-1181	2	0.268037	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.402055	N
hsa-mir-1185-2	1	0.134018	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.134018	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.402055	N
