miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38922	8311.523468	N
hsa-let-7a-2	78084	16674.297272	N
hsa-let-7a-3	39111	8351.883108	N
hsa-let-7b	80641	17220.326909	N
hsa-let-7c	3066	654.723060	N
hsa-let-7d	3989	851.823316	N
hsa-let-7e	4121	880.011002	N
hsa-let-7f-1	143	30.536659	N
hsa-let-7f-2	43281	9242.357721	N
hsa-let-7g	3766	804.203211	N
hsa-let-7i	2607	556.706790	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	32	6.833378	N
hsa-mir-100	29053	6204.066885	N
hsa-mir-101-1	48561	10369.865143	N
hsa-mir-101-2	524	111.896570	N
hsa-mir-103-1	132979	28396.744237	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	82	17.510532	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.213543	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	38	8.114637	Y
hsa-mir-106b	1671	356.830474	N
hsa-mir-107	284	60.646233	Y
hsa-mir-10a	54186	11571.044926	N
hsa-mir-10b	15618	3335.115706	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	95	20.286592	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.213543	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
