miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16472	3503.324245	N
hsa-let-7a-2	33335	7089.807777	N
hsa-let-7a-3	16765	3565.640539	N
hsa-let-7b	20202	4296.634069	N
hsa-let-7c	2108	448.337027	N
hsa-let-7d	1866	396.867596	N
hsa-let-7e	8714	1853.324883	N
hsa-let-7f-1	102	21.693727	N
hsa-let-7f-2	28402	6040.639582	N
hsa-let-7g	2955	628.480035	N
hsa-let-7i	2392	508.739169	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	3	0.638051	N
hsa-mir-100	15431	3281.920618	N
hsa-mir-101-1	30489	6484.510253	N
hsa-mir-101-2	126	26.798133	N
hsa-mir-103-1	108893	23159.755159	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	74	15.738586	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.212684	N
hsa-mir-105-2	2	0.425367	N
hsa-mir-106a	57	12.122965	Y
hsa-mir-106b	3404	723.974971	N
hsa-mir-107	690	146.751683	Y
hsa-mir-10a	106771	22708.440561	N
hsa-mir-10b	12248	2604.948722	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.212684	N
hsa-mir-1180	172	36.581579	N
hsa-mir-1181	1	0.212684	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.212684	N
hsa-mir-1185-2	1	0.212684	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.425367	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	2.552203	N
