miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	71262	8879.531957	N
hsa-let-7a-2	141219	17596.455663	N
hsa-let-7a-3	71233	8875.918441	N
hsa-let-7b	107102	13345.340177	N
hsa-let-7c	8065	1004.931453	N
hsa-let-7d	2877	358.485777	N
hsa-let-7e	11611	1446.777323	N
hsa-let-7f-1	282	35.138335	N
hsa-let-7f-2	102510	12773.158499	N
hsa-let-7g	5423	675.727622	N
hsa-let-7i	3917	488.073962	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	180	22.428724	N
hsa-mir-100	37556	4679.628725	Y
hsa-mir-101-1	103215	12861.004336	N
hsa-mir-101-2	579	72.145730	N
hsa-mir-103-1	177428	22108.242768	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	99	12.335798	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.124604	N
hsa-mir-106a	183	22.802536	Y
hsa-mir-106b	3023	376.677965	N
hsa-mir-107	1107	137.936655	Y
hsa-mir-10a	138540	17262.641483	N
hsa-mir-10b	16755	2087.740422	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	56	6.977825	N
hsa-mir-1181	1	0.124604	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.124604	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.249208	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.373812	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.996832	N
hsa-mir-1229	6	0.747624	N
hsa-mir-1231	1	0.124604	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	0.498416	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	50	6.230201	N
hsa-mir-1248	7	0.872228	N
hsa-mir-1249	7	0.872228	N
hsa-mir-1250	2	0.249208	N
hsa-mir-1251	1	0.124604	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.498416	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.872228	N
hsa-mir-125a	5234	652.177462	N
hsa-mir-125b-1	4870	606.821597	N
hsa-mir-125b-2	73	9.096094	N
hsa-mir-126	20771	2588.150182	N
hsa-mir-1260	1	0.124604	N
hsa-mir-1260b	1	0.124604	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.249208	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	4.610349	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	6	0.747624	N
hsa-mir-127	3404	424.152098	N
hsa-mir-1270-1	0	0.000000	N
hsa-mir-1270-2	1	0.124604	N
hsa-mir-1271	15	1.869060	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	12	1.495248	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.623020	N
hsa-mir-1278	1	0.124604	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	374	46.601905	N
hsa-mir-128-2	267	33.269274	N
hsa-mir-1280	1	0.124604	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
