miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51653	8650.114563	N
hsa-let-7a-2	102868	17226.879076	N
hsa-let-7a-3	52188	8739.708804	N
hsa-let-7b	73851	12367.521937	N
hsa-let-7c	7510	1257.668681	N
hsa-let-7d	2394	400.913292	N
hsa-let-7e	11712	1961.360265	N
hsa-let-7f-1	143	23.947619	N
hsa-let-7f-2	73241	12265.367757	N
hsa-let-7g	3731	624.815160	N
hsa-let-7i	2353	394.047191	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	14	2.344522	N
hsa-mir-100	35650	5970.158252	N
hsa-mir-101-1	61625	10320.084215	N
hsa-mir-101-2	333	55.766135	N
hsa-mir-103-1	67590	11319.018128	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	25	4.186647	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	43	7.201032	N
hsa-mir-105-2	64	10.717816	N
hsa-mir-106a	36	6.028771	Y
hsa-mir-106b	968	162.106962	N
hsa-mir-107	306	51.244556	Y
hsa-mir-10a	87433	14642.043378	N
hsa-mir-10b	31880	5338.811923	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.167466	N
hsa-mir-1180	43	7.201032	N
hsa-mir-1181	1	0.167466	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	16	2.679454	N
hsa-mir-1185-2	6	1.004795	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.167466	N
hsa-mir-1224	4	0.669863	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.669863	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.669863	N
hsa-mir-1229	2	0.334932	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.167466	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	8	1.339727	N
