miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28426	7841.443183	N
hsa-let-7a-2	57124	15757.918820	N
hsa-let-7a-3	28623	7895.786541	N
hsa-let-7b	74641	20590.064048	N
hsa-let-7c	2809	774.875603	N
hsa-let-7d	1486	409.919953	N
hsa-let-7e	1921	529.916708	N
hsa-let-7f-1	51	14.068585	N
hsa-let-7f-2	22440	6190.177479	N
hsa-let-7g	2222	612.948946	N
hsa-let-7i	2304	635.569025	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	10	2.758546	N
hsa-mir-100	55191	15224.691857	Y
hsa-mir-101-1	23139	6382.999853	N
hsa-mir-101-2	102	28.137170	N
hsa-mir-103-1	55027	15179.451700	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	23	6.344656	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.275855	N
hsa-mir-105-2	1	0.275855	N
hsa-mir-106a	99	27.309607	Y
hsa-mir-106b	1424	392.816967	N
hsa-mir-107	397	109.514281	Y
hsa-mir-10a	65417	18045.581113	N
hsa-mir-10b	44600	12303.115667	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	51	14.068585	N
hsa-mir-1181	1	0.275855	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.551709	N
hsa-mir-1185-2	2	0.551709	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.275855	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.827564	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.551709	N
hsa-mir-1229	3	0.827564	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.275855	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	13	3.586110	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	3.861965	N
hsa-mir-1248	5	1.379273	N
hsa-mir-1249	4	1.103418	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.551709	N
hsa-mir-125a	1278	352.542193	N
hsa-mir-125b-1	3613	996.662711	N
hsa-mir-125b-2	37	10.206621	N
hsa-mir-126	8832	2436.347928	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.551709	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	42	11.585894	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.551709	N
hsa-mir-127	3316	914.733891	N
hsa-mir-1270-1	2	0.551709	N
