miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11685	3061.255767	N
hsa-let-7a-2	23628	6190.102804	N
hsa-let-7a-3	11775	3084.834117	N
hsa-let-7b	20423	5350.451565	N
hsa-let-7c	1889	494.883367	N
hsa-let-7d	1557	407.905454	N
hsa-let-7e	1888	494.621385	N
hsa-let-7f-1	71	18.600698	N
hsa-let-7f-2	13507	3538.586363	N
hsa-let-7g	1953	511.650194	N
hsa-let-7i	2606	682.724222	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	14	3.667743	N
hsa-mir-100	12511	3277.652623	N
hsa-mir-101-1	26735	7004.079840	N
hsa-mir-101-2	206	53.968223	N
hsa-mir-103-1	104546	27389.135254	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	67	17.552772	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	341	89.335748	N
hsa-mir-105-2	361	94.575381	N
hsa-mir-106a	40	10.479267	Y
hsa-mir-106b	1496	391.924572	N
hsa-mir-107	202	52.920297	Y
hsa-mir-10a	80668	21133.537033	N
hsa-mir-10b	11066	2899.089116	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	82	21.482497	N
hsa-mir-1181	3	0.785945	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.261982	N
hsa-mir-1224	1	0.261982	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.785945	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.833872	N
hsa-mir-1229	2	0.523963	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	1.047927	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	3.143780	N
hsa-mir-1248	13	3.405762	N
hsa-mir-1249	10	2.619817	N
hsa-mir-1250	1	0.261982	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.261982	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	3	0.785945	N
hsa-mir-1255a	4	1.047927	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.523963	N
hsa-mir-125a	3359	879.996416	N
hsa-mir-125b-1	1639	429.387951	N
hsa-mir-125b-2	11	2.881798	N
hsa-mir-126	20965	5492.445628	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	34	8.907377	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	688	180.243386	N
hsa-mir-1270-1	3	0.785945	N
hsa-mir-1270-2	2	0.523963	N
hsa-mir-1271	0	0.000000	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	18	4.715670	N
hsa-mir-1275	2	0.523963	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	1.309908	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	204	53.444260	N
hsa-mir-128-2	137	35.891488	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.261982	N
hsa-mir-1285-1	1	0.261982	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	64	16.766827	N
hsa-mir-1288	2	0.523963	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	3	0.785945	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.309908	N
hsa-mir-1292	3	0.785945	N
hsa-mir-1293	1	0.261982	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	2	0.523963	N
hsa-mir-1296	3	0.785945	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	16.242863	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
