miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	24764	6532.911348	N
hsa-let-7a-2	48402	12768.776250	N
hsa-let-7a-3	24638	6499.671692	N
hsa-let-7b	39532	10428.810023	N
hsa-let-7c	12141	3202.878238	N
hsa-let-7d	3393	895.096439	N
hsa-let-7e	3709	978.459384	N
hsa-let-7f-1	137	36.141530	N
hsa-let-7f-2	29021	7655.936853	N
hsa-let-7g	1919	506.245230	N
hsa-let-7i	2405	634.455330	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	262	69.117379	N
hsa-mir-100	29663	7825.300812	N
hsa-mir-101-1	28373	7484.990053	N
hsa-mir-101-2	638	168.308732	N
hsa-mir-103-1	145674	38429.790329	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	56	14.773180	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	1	0.263807	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	20	5.276136	Y
hsa-mir-106b	1034	272.776221	N
hsa-mir-107	132	34.822496	Y
hsa-mir-10a	249571	65838.524391	N
hsa-mir-10b	143976	37981.846400	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.263807	N
hsa-mir-1180	352	92.859990	N
hsa-mir-1181	1	0.263807	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.263807	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.791420	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.527614	N
hsa-mir-1229	1	0.263807	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	19	5.012329	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	422	111.326465	N
hsa-mir-1248	9	2.374261	N
hsa-mir-1249	3	0.791420	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.527614	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	23	6.067556	N
hsa-mir-125a	5008	1321.144404	N
hsa-mir-125b-1	4392	1158.639422	N
hsa-mir-125b-2	79	20.840736	N
hsa-mir-126	9063	2390.880938	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.263807	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	92	24.270225	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	0	0.000000	N
hsa-mir-127	2410	635.774364	N
hsa-mir-1270-1	0	0.000000	N
hsa-mir-1270-2	1	0.263807	N
hsa-mir-1271	8	2.110454	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	0.791420	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	170	44.847154	N
hsa-mir-128-2	80	21.104543	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.263807	N
hsa-mir-1284	4	1.055227	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	133	35.086303	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.055227	N
hsa-mir-129-2	2	0.527614	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.263807	N
hsa-mir-1292	1	0.263807	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.791420	N
hsa-mir-1295	2	0.527614	N
hsa-mir-1296	17	4.484715	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	48	12.662726	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.263807	N
hsa-mir-1305	1	0.263807	N
hsa-mir-1306	14	3.693295	N
hsa-mir-1307	2911	767.941566	N
hsa-mir-130a	291	76.767776	N
hsa-mir-130b	36	9.497044	N
hsa-mir-132	418	110.271238	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	369	97.344706	Y
hsa-mir-133a-2	7	1.846648	Y
hsa-mir-133b	29	7.650397	Y
hsa-mir-134	825	217.640602	N
hsa-mir-135a-1	5	1.319034	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	202	53.288972	N
hsa-mir-136	44	11.607499	N
hsa-mir-137	1	0.263807	N
hsa-mir-138-1	8	2.110454	N
hsa-mir-138-2	1	0.263807	N
hsa-mir-139	865	228.192873	N
hsa-mir-140	14896	3929.665944	N
hsa-mir-141	3005	792.739404	N
hsa-mir-142	5627	1484.440807	N
hsa-mir-143	326057	86016.050533	N
hsa-mir-144	149	39.307212	N
hsa-mir-145	25081	6616.538100	N
hsa-mir-1468	25	6.595170	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	914	241.119406	N
hsa-mir-146b	7819	2062.705291	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	1	0.263807	N
hsa-mir-148a	114307	30154.962747	N
hsa-mir-148b	246	64.896470	N
hsa-mir-149	623	164.351630	N
hsa-mir-150	6978	1840.843781	N
hsa-mir-151	6680	1762.229357	N
hsa-mir-152	450	118.713056	N
hsa-mir-153-1	4	1.055227	N
hsa-mir-153-2	34	8.969431	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	31	8.178010	N
hsa-mir-155	6534	1723.713566	N
hsa-mir-15a	701	184.928560	N
hsa-mir-15b	1537	405.471036	N
hsa-mir-16-1	1685	444.514441	N
hsa-mir-16-2	44	11.607499	N
hsa-mir-17	1821	480.392165	Y
hsa-mir-181a-1	10443	2754.934308	N
hsa-mir-181a-2	6399	1688.099649	N
hsa-mir-181b-1	3275	863.967237	N
hsa-mir-181b-2	255	67.270731	N
hsa-mir-181c	190	50.123290	N
hsa-mir-181d	65	17.147441	N
hsa-mir-182	162377	42836.155143	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	58641	15469.893973	N
hsa-mir-184	8	2.110454	N
hsa-mir-185	122	32.184428	N
hsa-mir-186	1473	388.587402	N
hsa-mir-187	425	112.117886	N
hsa-mir-188	2	0.527614	N
hsa-mir-18a	17	4.484715	Y
hsa-mir-18b	1	0.263807	Y
hsa-mir-190	12	3.165681	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	56	14.773180	N
hsa-mir-191	1963	517.852729	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.263807	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	415	109.479818	N
hsa-mir-193a	530	139.817599	N
hsa-mir-193b	83	21.895964	N
hsa-mir-194-1	207	54.608006	N
hsa-mir-194-2	227	59.884141	N
hsa-mir-195	312	82.307718	N
hsa-mir-196a-1	82	21.632157	N
hsa-mir-196a-2	27	7.122783	N
hsa-mir-196b	113	29.810167	N
hsa-mir-197	955	251.935484	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	40	10.552272	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4333	1143.074821	Y
hsa-mir-199a-2	6325	1668.577947	Y
hsa-mir-199b	7250	1912.599228	Y
hsa-mir-19a	44	11.607499	N
hsa-mir-19b-1	10	2.638068	N
hsa-mir-19b-2	564	148.787030	N
hsa-mir-200a	2698	711.750719	N
hsa-mir-200b	4524	1193.461918	N
hsa-mir-200c	71915	18971.665304	N
hsa-mir-202	5	1.319034	N
hsa-mir-203	11143	2939.599061	N
hsa-mir-204	73	19.257896	N
hsa-mir-205	5633	1486.023648	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	877	231.358555	N
hsa-mir-20b	32	8.441817	N
hsa-mir-21	812356	214305.028711	N
hsa-mir-210	102	26.908293	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	28	7.386590	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	6	1.582841	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	3	0.791420	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	9	2.374261	N
hsa-mir-214	143	37.724371	N
hsa-mir-215	2	0.527614	N
hsa-mir-216a	3	0.791420	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	261	68.853572	N
hsa-mir-218-1	29	7.650397	N
hsa-mir-218-2	921	242.966054	N
hsa-mir-219-1	9	2.374261	N
hsa-mir-219-2	0	0.000000	N
hsa-mir-22	300980	79400.567659	N
hsa-mir-221	934	246.395542	N
hsa-mir-222	260	68.589765	N
hsa-mir-223	1194	314.985307	N
hsa-mir-224	191	50.387097	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	2	0.527614	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	167	44.055734	N
hsa-mir-23a	8350	2202.786697	Y
hsa-mir-23b	4791	1263.898331	Y
hsa-mir-23c	4	1.055227	N
hsa-mir-24-1	142	37.460564	N
hsa-mir-24-2	4781	1261.260263	N
hsa-mir-25	65255	17214.712083	N
hsa-mir-26a-1	6	1.582841	N
hsa-mir-26a-2	11597	3059.367344	N
hsa-mir-26b	3685	972.128021	N
hsa-mir-27a	3710	978.723191	Y
hsa-mir-27b	6071	1601.571022	Y
hsa-mir-28	33880	8937.774046	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	9	2.374261	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	12	3.165681	N
hsa-mir-29a	64436	16998.654322	N
hsa-mir-29b-1	1598	421.563250	N
hsa-mir-29b-2	1802	475.379836	N
hsa-mir-29c	12149	3204.988692	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	37	9.760851	N
hsa-mir-301b	2	0.527614	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3065	997	263.015370	N
hsa-mir-3074	12	3.165681	N
hsa-mir-30a	291940	77015.754278	Y
hsa-mir-30b	3702	976.612737	Y
hsa-mir-30c-1	4	1.055227	N
hsa-mir-30c-2	6684	1763.284584	Y
hsa-mir-30d	37027	9767.974014	N
hsa-mir-30e	54113	14275.376828	Y
hsa-mir-31	25	6.595170	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3118-5	0	0.000000	N
hsa-mir-3118-6	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
