miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62408	13549.074689	N
hsa-let-7a-2	124778	27089.899396	Y
hsa-let-7a-3	63084	13695.837515	N
hsa-let-7b	67406	14634.164345	N
hsa-let-7c	7297	1584.213530	Y
hsa-let-7d	2967	644.149862	N
hsa-let-7e	10797	2344.080237	N
hsa-let-7f-1	307	66.651165	N
hsa-let-7f-2	112270	24374.352892	N
hsa-let-7g	4672	1014.313501	N
hsa-let-7i	2189	475.242349	N
hsa-mir-1-1	1	0.217105	N
hsa-mir-1-2	179	38.861754	N
hsa-mir-100	35886	7791.021893	Y
hsa-mir-101-1	92417	20064.171829	N
hsa-mir-101-2	623	135.256274	N
hsa-mir-103-1	80447	17465.427693	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	42	9.118400	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	58	12.592077	Y
hsa-mir-106b	1950	423.354308	N
hsa-mir-107	635	137.861531	Y
hsa-mir-10a	83028	18025.775113	N
hsa-mir-10b	10807	2346.251284	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.217105	N
hsa-mir-1180	103	22.361792	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.217105	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.217105	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	1.953943	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.085524	N
hsa-mir-1229	12	2.605257	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.217105	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.217105	N
hsa-mir-1246	1	0.217105	N
hsa-mir-1247	42	9.118400	N
hsa-mir-1248	12	2.605257	N
hsa-mir-1249	3	0.651314	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.651314	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	2	0.434210	N
hsa-mir-1255a	6	1.302629	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.217105	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.651314	N
hsa-mir-125a	4754	1032.116092	N
hsa-mir-125b-1	2987	648.491958	N
hsa-mir-125b-2	68	14.763125	N
hsa-mir-126	33255	7219.819234	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.085524	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	65	14.111810	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	121	26.269678	N
hsa-mir-127	567	123.098406	N
hsa-mir-1270-1	4	0.868419	N
hsa-mir-1270-2	3	0.651314	N
hsa-mir-1271	9	1.953943	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	22	4.776305	N
hsa-mir-1275	1	0.217105	N
hsa-mir-1276	1	0.217105	N
hsa-mir-1277	4	0.868419	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	294	63.828803	N
hsa-mir-128-2	217	47.111736	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.217105	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	192	41.684116	N
hsa-mir-1288	2	0.434210	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	9	1.953943	N
hsa-mir-129-2	9	1.953943	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.651314	N
hsa-mir-1292	4	0.868419	N
hsa-mir-1293	5	1.085524	N
hsa-mir-1294	1	0.217105	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	13	2.822362	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.217105	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	64	13.894705	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.217105	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.217105	N
hsa-mir-1304	4	0.868419	N
hsa-mir-1305	2	0.434210	N
hsa-mir-1306	33	7.164458	N
hsa-mir-1307	4147	900.333495	N
hsa-mir-130a	592	128.526026	N
hsa-mir-130b	75	16.282858	N
hsa-mir-132	419	90.966900	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	57	12.374972	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	4	0.868419	Y
hsa-mir-134	102	22.144687	N
hsa-mir-135a-1	18	3.907886	N
hsa-mir-135a-2	1	0.217105	N
hsa-mir-135b	537	116.585263	N
hsa-mir-136	70	15.197334	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	17	3.690781	N
hsa-mir-138-2	14	3.039467	N
hsa-mir-139	509	110.506330	N
hsa-mir-140	6437	1397.503425	N
hsa-mir-141	17412	3780.228312	N
hsa-mir-142	11150	2420.718222	N
hsa-mir-143	356211	77335.108382	N
hsa-mir-144	634	137.644426	N
hsa-mir-145	11848	2572.257353	N
hsa-mir-1468	17	3.690781	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	844	183.236429	N
hsa-mir-146b	9110	1977.824484	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	4	0.868419	N
hsa-mir-148a	141738	30771.996350	N
hsa-mir-148b	1049	227.742907	N
hsa-mir-149	49	10.638134	N
hsa-mir-150	9477	2057.501936	N
hsa-mir-151	8147	1768.752588	N
hsa-mir-152	677	146.979931	N
hsa-mir-153-1	20	4.342095	N
hsa-mir-153-2	323	70.124842	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	18	3.907886	N
hsa-mir-155	1600	347.367637	N
hsa-mir-15a	1129	245.111289	N
hsa-mir-15b	1226	266.170452	N
hsa-mir-16-1	2352	510.630427	N
hsa-mir-16-2	63	13.677601	N
hsa-mir-17	2474	537.117209	Y
hsa-mir-181a-1	14607	3171.249423	N
hsa-mir-181a-2	4558	989.563556	N
hsa-mir-181b-1	2344	508.893588	N
hsa-mir-181b-2	39	8.467086	N
hsa-mir-181c	551	119.624730	N
hsa-mir-181d	101	21.927582	N
hsa-mir-182	39352	8543.507037	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	11903	2584.198116	N
hsa-mir-184	21	4.559200	N
hsa-mir-185	764	165.868047	N
hsa-mir-186	1983	430.518765	N
hsa-mir-187	27	5.861829	N
hsa-mir-188	15	3.256572	N
hsa-mir-18a	54	11.723658	Y
hsa-mir-18b	4	0.868419	Y
hsa-mir-190	17	3.690781	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1835	398.387259	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.217105	N
hsa-mir-1912	1	0.217105	N
hsa-mir-1913	1	0.217105	N
hsa-mir-1914	1	0.217105	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	14673	3185.578338	Y
hsa-mir-193a	805	174.769342	N
hsa-mir-193b	104	22.578896	N
hsa-mir-194-1	9289	2016.686239	N
hsa-mir-194-2	10706	2324.323702	N
hsa-mir-195	318	69.039318	N
hsa-mir-196a-1	555	120.493149	N
hsa-mir-196a-2	17	3.690781	N
hsa-mir-196b	58	12.592077	N
hsa-mir-197	1145	248.584965	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	65	14.111810	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	4823	1047.096321	Y
hsa-mir-199a-2	7788	1690.811974	Y
hsa-mir-199b	9670	2099.403157	Y
hsa-mir-19a	142	30.828878	N
hsa-mir-19b-1	28	6.078934	N
hsa-mir-19b-2	712	154.578599	N
hsa-mir-200a	13029	2828.658091	N
hsa-mir-200b	5464	1186.260481	N
hsa-mir-200c	67181	14585.315771	N
hsa-mir-202	2	0.434210	N
hsa-mir-203	31275	6789.951783	N
hsa-mir-204	39	8.467086	N
hsa-mir-205	49	10.638134	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1421	308.505883	N
hsa-mir-20b	51	11.072343	N
hsa-mir-21	1656207	359570.445180	N
hsa-mir-210	2410	523.222504	N
hsa-mir-211	5	1.085524	N
hsa-mir-2110	16	3.473676	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.217105	N
hsa-mir-2115	1	0.217105	N
hsa-mir-2116	1	0.217105	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	24	5.210515	N
hsa-mir-214	125	27.138097	N
hsa-mir-215	612	132.868121	Y
hsa-mir-216a	2	0.434210	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	78	16.934172	N
hsa-mir-218-1	13	2.822362	N
hsa-mir-218-2	579	125.703664	N
hsa-mir-219-1	12	2.605257	N
hsa-mir-219-2	1	0.217105	N
hsa-mir-22	408503	88687.951184	N
hsa-mir-221	2114	458.959491	N
hsa-mir-222	445	96.611624	N
hsa-mir-223	1313	285.058567	N
hsa-mir-224	81	17.585487	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	2	0.434210	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	177	38.427545	N
hsa-mir-23a	12800	2778.941098	Y
hsa-mir-23b	5435	1179.964443	Y
hsa-mir-23c	36	7.815772	N
hsa-mir-24-1	130	28.223621	N
hsa-mir-24-2	8962	1945.692978	N
hsa-mir-25	23437	5088.284571	N
hsa-mir-26a-1	7	1.519733	N
hsa-mir-26a-2	19346	4200.108943	N
hsa-mir-26b	7120	1545.785985	N
hsa-mir-27a	8559	1858.199754	Y
hsa-mir-27b	9219	2001.488905	Y
hsa-mir-28	13288	2884.888227	N
