miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	21223	5338.848189	N
hsa-let-7a-2	42718	10746.120575	N
hsa-let-7a-3	21460	5398.467801	N
hsa-let-7b	29474	7414.465982	N
hsa-let-7c	2490	626.383263	N
hsa-let-7d	1506	378.848672	N
hsa-let-7e	5677	1428.103528	N
hsa-let-7f-1	72	18.112287	N
hsa-let-7f-2	25665	6456.275681	N
hsa-let-7g	2235	562.235579	N
hsa-let-7i	2226	559.971544	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	72	18.112287	N
hsa-mir-100	23700	5961.961178	N
hsa-mir-101-1	37018	9312.231177	N
hsa-mir-101-2	188	47.293194	N
hsa-mir-103-1	77798	19570.829357	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	41	10.313941	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	792	199.235158	N
hsa-mir-105-2	787	197.977361	N
hsa-mir-106a	33	8.301465	Y
hsa-mir-106b	1345	338.347586	N
hsa-mir-107	450	113.201795	Y
hsa-mir-10a	64266	16166.725615	N
hsa-mir-10b	18290	4601.024049	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.754679	N
hsa-mir-1180	70	17.609168	N
hsa-mir-1181	1	0.251560	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	104	26.162193	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.257798	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.503119	N
hsa-mir-1229	8	2.012476	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.251560	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.503119	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.503119	N
hsa-mir-1243	1	0.251560	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	3	0.754679	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	65	16.351370	N
hsa-mir-1248	6	1.509357	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	7	1.760917	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	1	0.251560	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.251560	N
hsa-mir-125a	3523	886.244271	N
hsa-mir-125b-1	2850	716.944699	N
hsa-mir-125b-2	30	7.546786	N
hsa-mir-126	8674	2182.027479	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.503119	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.509357	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	3469	872.660056	N
hsa-mir-127	2047	514.942385	N
hsa-mir-1270-1	5	1.257798	N
hsa-mir-1270-2	2	0.503119	N
hsa-mir-1271	10	2.515595	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	14	3.521834	N
hsa-mir-1275	2	0.503119	N
hsa-mir-1276	3	0.754679	N
hsa-mir-1277	5	1.257798	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	241	60.625850	N
hsa-mir-128-2	149	37.482372	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	198	49.808790	N
hsa-mir-1288	1	0.251560	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	83	20.879442	N
hsa-mir-129-2	105	26.413752	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.251560	N
hsa-mir-1292	4	1.006238	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.251560	N
hsa-mir-1295	6	1.509357	N
hsa-mir-1296	9	2.264036	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	10.313941	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	8	2.012476	N
hsa-mir-1306	9	2.264036	N
hsa-mir-1307	5652	1421.814539	N
hsa-mir-130a	238	59.871171	N
hsa-mir-130b	105	26.413752	N
hsa-mir-132	540	135.842153	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	47	11.823299	Y
hsa-mir-133a-2	0	0.000000	N
