miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55933	6348.331147	N
hsa-let-7a-2	111179	12618.688584	N
hsa-let-7a-3	56078	6364.788480	N
hsa-let-7b	101387	11507.307850	N
hsa-let-7c	10074	1143.387409	N
hsa-let-7d	1940	220.187768	N
hsa-let-7e	9634	1093.447916	N
hsa-let-7f-1	185	20.997287	N
hsa-let-7f-2	51749	5873.451961	N
hsa-let-7g	2917	331.076144	N
hsa-let-7i	3617	410.525339	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	180	20.429793	N
hsa-mir-100	26063	2958.120514	N
hsa-mir-101-1	54340	6167.527480	N
hsa-mir-101-2	508	57.657416	N
hsa-mir-103-1	195195	22154.407921	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	47	5.334446	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.226998	N
hsa-mir-106a	11	1.248487	Y
hsa-mir-106b	2703	306.787390	N
hsa-mir-107	482	54.706445	Y
hsa-mir-10a	124896	14175.552302	N
hsa-mir-10b	52942	6008.856088	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	209	23.721260	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.567494	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.113499	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	45	5.107448	N
hsa-mir-1224	1	0.113499	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.567494	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.113499	N
hsa-mir-1229	1	0.113499	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.226998	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.113499	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.113499	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	3.518464	N
hsa-mir-1248	5	0.567494	N
hsa-mir-1249	2	0.226998	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	9	1.021490	N
hsa-mir-1255a	5	0.567494	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.226998	N
hsa-mir-125a	9175	1041.351944	N
hsa-mir-125b-1	2104	238.801579	N
hsa-mir-125b-2	72	8.171917	N
hsa-mir-126	6130	695.747947	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.340497	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	47	5.334446	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	10	1.134988	N
hsa-mir-127	3290	373.411215	N
hsa-mir-1270-1	2	0.226998	N
hsa-mir-1270-2	1	0.113499	N
hsa-mir-1271	3	0.340497	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	3	0.340497	N
hsa-mir-1275	1	0.113499	N
hsa-mir-1276	1	0.113499	N
hsa-mir-1277	7	0.794492	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	297	33.709158	N
hsa-mir-128-2	184	20.883788	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.113499	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	213	24.175255	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.453995	N
hsa-mir-129-2	5	0.567494	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.226998	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	1	0.113499	N
hsa-mir-1294	3	0.340497	N
hsa-mir-1295	0	0.000000	N
hsa-mir-1296	15	1.702483	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	17	1.929480	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	1.475485	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	11	1.248487	N
hsa-mir-1307	6813	773.267661	N
hsa-mir-130a	538	61.062381	N
hsa-mir-130b	66	7.490924	N
hsa-mir-132	370	41.994574	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	79	8.966409	Y
hsa-mir-133a-2	2	0.226998	Y
hsa-mir-133b	5	0.567494	Y
hsa-mir-134	770	87.394114	N
hsa-mir-135a-1	12	1.361986	N
hsa-mir-135a-2	1	0.113499	N
hsa-mir-135b	973	110.434381	N
hsa-mir-136	301	34.163154	N
hsa-mir-137	37	4.199457	N
hsa-mir-138-1	4	0.453995	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	246	27.920717	N
hsa-mir-140	6461	733.316066	N
hsa-mir-141	15873	1801.567238	N
hsa-mir-142	2724	309.170866	N
hsa-mir-143	403073	45748.321749	N
hsa-mir-144	148	16.797830	N
hsa-mir-145	8654	982.219043	N
hsa-mir-1468	17	1.929480	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1783	202.368449	N
hsa-mir-146b	25365	2878.898317	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	7	0.794492	N
hsa-mir-148a	229410	26037.771055	N
hsa-mir-148b	837	94.998537	N
hsa-mir-149	37	4.199457	N
hsa-mir-150	2550	289.422066	N
hsa-mir-151	15776	1790.557849	N
hsa-mir-152	1229	139.490086	N
hsa-mir-153-1	1	0.113499	N
hsa-mir-153-2	6	0.680993	N
hsa-mir-1537	1	0.113499	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	34	3.858961	N
hsa-mir-155	887	100.673479	N
hsa-mir-15a	2029	230.289166	N
hsa-mir-15b	1159	131.545167	N
hsa-mir-16-1	2518	285.790103	N
hsa-mir-16-2	53	6.015439	N
hsa-mir-17	4646	527.315655	Y
hsa-mir-181a-1	74838	8494.026896	N
hsa-mir-181a-2	8476	962.016248	N
hsa-mir-181b-1	12331	1399.554313	N
hsa-mir-181b-2	68	7.717922	N
hsa-mir-181c	1434	162.757350	N
hsa-mir-181d	433	49.145002	N
hsa-mir-182	115687	13130.341398	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	50106	5686.973351	N
hsa-mir-184	9	1.021490	N
hsa-mir-185	486	55.160441	N
hsa-mir-186	1029	116.790316	N
hsa-mir-187	544	61.743374	N
hsa-mir-188	4	0.453995	N
hsa-mir-18a	42	4.766952	Y
hsa-mir-18b	1	0.113499	Y
hsa-mir-190	8	0.907991	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	1	0.113499	N
hsa-mir-191	1330	150.953470	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1035	117.471309	Y
hsa-mir-193a	486	55.160441	N
hsa-mir-193b	127	14.414354	N
hsa-mir-194-1	413	46.875025	N
hsa-mir-194-2	458	51.982473	N
hsa-mir-195	318	36.092634	N
hsa-mir-196a-1	1	0.113499	N
hsa-mir-196a-2	1	0.113499	N
hsa-mir-196b	13	1.475485	N
hsa-mir-197	496	56.295429	N
