miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16507	3977.302846	N
hsa-let-7a-2	33075	7969.303424	N
hsa-let-7a-3	16620	4004.529793	N
hsa-let-7b	24877	5994.024528	N
hsa-let-7c	7384	1779.148495	N
hsa-let-7d	2199	529.841216	N
hsa-let-7e	4218	1016.312074	N
hsa-let-7f-1	113	27.226947	N
hsa-let-7f-2	32199	7758.234345	N
hsa-let-7g	1954	470.809339	N
hsa-let-7i	1932	465.508517	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	49	11.806375	N
hsa-mir-100	18657	4495.337686	Y
hsa-mir-101-1	60897	14672.915211	N
hsa-mir-101-2	257	61.923234	N
hsa-mir-103-1	135134	32560.055900	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	40	9.637858	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	4	0.963786	N
hsa-mir-105-2	6	1.445679	N
hsa-mir-106a	26	6.264607	Y
hsa-mir-106b	1615	389.128497	N
hsa-mir-107	598	144.085970	Y
hsa-mir-10a	52809	12724.140424	N
hsa-mir-10b	2194	528.636484	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.240946	N
hsa-mir-1180	139	33.491555	N
hsa-mir-1181	1	0.240946	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	1.445679	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	2.168518	N
hsa-mir-1227	1	0.240946	N
hsa-mir-1228	10	2.409464	N
hsa-mir-1229	8	1.927572	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.240946	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	1	0.240946	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	1.686625	N
hsa-mir-1248	8	1.927572	N
hsa-mir-1249	4	0.963786	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.963786	N
hsa-mir-1255a	3	0.722839	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.240946	N
hsa-mir-125a	2914	702.117919	N
hsa-mir-125b-1	2282	549.839771	N
hsa-mir-125b-2	76	18.311929	N
hsa-mir-126	6373	1535.551647	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.481893	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	39	9.396911	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	1389	334.674602	N
hsa-mir-127	584	140.712720	N
hsa-mir-1270-1	5	1.204732	N
hsa-mir-1270-2	4	0.963786	N
hsa-mir-1271	3	0.722839	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	9	2.168518	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	11	2.650411	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	298	71.802038	N
hsa-mir-128-2	196	47.225502	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.240946	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	83	19.998554	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.240946	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.963786	N
hsa-mir-1292	1	0.240946	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	2	0.481893	N
hsa-mir-1296	11	2.650411	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	64	15.420572	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.240946	N
hsa-mir-1304	2	0.481893	N
hsa-mir-1305	1	0.240946	N
hsa-mir-1306	29	6.987447	N
hsa-mir-1307	6170	1486.639520	N
hsa-mir-130a	353	85.054092	N
hsa-mir-130b	75	18.070983	N
hsa-mir-132	483	116.377129	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	49	11.806375	Y
hsa-mir-133a-2	1	0.240946	Y
hsa-mir-133b	2	0.481893	Y
hsa-mir-134	268	64.573645	N
