miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55243	9870.569273	N
hsa-let-7a-2	110572	19756.504636	Y
hsa-let-7a-3	55555	9926.316021	N
hsa-let-7b	94076	16809.073998	N
hsa-let-7c	11209	2002.773401	Y
hsa-let-7d	1843	329.298901	N
hsa-let-7e	7786	1391.167249	N
hsa-let-7f-1	166	29.660129	N
hsa-let-7f-2	66277	11842.074465	N
hsa-let-7g	4192	749.007592	N
hsa-let-7i	3617	646.269194	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	266	47.527676	N
hsa-mir-100	33475	5981.161530	N
hsa-mir-101-1	58579	10466.630658	N
hsa-mir-101-2	535	95.591379	N
hsa-mir-103-1	84954	15179.196314	Y
hsa-mir-103-1-as	0	0.000000	N
hsa-mir-103-2	27	4.824238	N
hsa-mir-103-2-as	0	0.000000	N
hsa-mir-105-1	2	0.357351	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	31	5.538940	Y
hsa-mir-106b	1910	341.270157	N
hsa-mir-107	340	60.749662	Y
hsa-mir-10a	125734	22465.582190	N
hsa-mir-10b	39838	7118.073578	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	59	10.541853	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.178675	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	32	5.717615	N
hsa-mir-1224	3	0.536026	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.536026	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.536026	N
hsa-mir-1229	2	0.357351	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.178675	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1245	4	0.714702	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	19	3.394834	N
hsa-mir-1248	9	1.608079	N
hsa-mir-1249	3	0.536026	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.357351	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254	4	0.714702	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4783	854.604798	N
hsa-mir-125b-1	3374	602.851053	N
hsa-mir-125b-2	104	18.582249	N
hsa-mir-126	13091	2339.040645	N
hsa-mir-1260	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.072053	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	23	4.109536	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268	0	0.000000	N
hsa-mir-1269	2	0.357351	N
hsa-mir-127	894	159.735875	N
hsa-mir-1270-1	3	0.536026	N
hsa-mir-1270-2	0	0.000000	N
hsa-mir-1271	4	0.714702	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1274a	0	0.000000	N
hsa-mir-1274b	2	0.357351	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.536026	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	288	51.458537	N
hsa-mir-128-2	205	36.628472	N
hsa-mir-1280	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	1	0.178675	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	142	25.371917	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.250728	N
hsa-mir-129-2	13	2.322781	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.178675	N
hsa-mir-1292	1	0.178675	N
hsa-mir-1293	2	0.357351	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295	2	0.357351	N
hsa-mir-1296	5	0.893377	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	22	3.930860	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	2.322781	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	20	3.573510	N
hsa-mir-1307	2607	465.806964	N
hsa-mir-130a	499	89.159062	N
hsa-mir-130b	115	20.547680	N
hsa-mir-132	504	90.052439	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	65	11.613906	Y
hsa-mir-133a-2	1	0.178675	Y
hsa-mir-133b	6	1.072053	Y
hsa-mir-134	172	30.732182	N
hsa-mir-135a-1	6	1.072053	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	425	75.937077	N
hsa-mir-136	96	17.152846	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	20	3.573510	N
hsa-mir-138-2	27	4.824238	N
hsa-mir-139	343	61.285688	N
hsa-mir-140	6743	1204.808729	N
hsa-mir-141	8320	1486.579953	N
hsa-mir-142	18108	3235.455504	N
hsa-mir-143	350219	62575.546224	N
hsa-mir-144	1072	191.540109	N
hsa-mir-145	10597	1893.424010	N
hsa-mir-1468	25	4.466887	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	6749	1205.880782	N
hsa-mir-146b	6038	1078.842519	N
hsa-mir-147	0	0.000000	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	630038	112572.339000	N
hsa-mir-148b	1639	292.849104	N
hsa-mir-149	23	4.109536	N
hsa-mir-150	8293	1481.755715	N
hsa-mir-151	5901	1054.363979	N
hsa-mir-152	1638	292.670428	N
hsa-mir-153-1	11	1.965430	N
hsa-mir-153-2	167	29.838804	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	5	0.893377	N
hsa-mir-155	3586	640.730254	N
hsa-mir-15a	773	138.116142	N
hsa-mir-15b	928	165.810841	N
hsa-mir-16-1	2199	392.907370	N
hsa-mir-16-2	37	6.610993	N
hsa-mir-17	1794	320.543802	Y
hsa-mir-181a-1	13722	2451.784870	N
hsa-mir-181a-2	3397	606.960589	N
hsa-mir-181b-1	2245	401.126442	N
hsa-mir-181b-2	21	3.752185	N
hsa-mir-181c	832	148.657995	N
hsa-mir-181d	153	27.337348	N
hsa-mir-182	129129	23072.185428	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	32250	5762.284073	N
hsa-mir-184	4	0.714702	N
hsa-mir-185	400	71.470190	N
hsa-mir-186	1097	196.006996	N
hsa-mir-187	53	9.469800	N
hsa-mir-188	12	2.144106	N
hsa-mir-18a	35	6.253642	N
hsa-mir-18b	1	0.178675	N
hsa-mir-190	15	2.680132	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190b	1	0.178675	N
hsa-mir-191	1900	339.483403	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.178675	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	34937	6242.385075	Y
hsa-mir-193a	1925	343.950290	N
hsa-mir-193b	164	29.302778	N
hsa-mir-194-1	10785	1927.014999	N
hsa-mir-194-2	11576	2068.347300	N
hsa-mir-195	363	64.859197	N
hsa-mir-196a-1	5	0.893377	N
hsa-mir-196a-2	1	0.178675	N
hsa-mir-196b	18	3.216159	N
hsa-mir-197	635	113.458927	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	65	11.613906	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	9753	1742.621909	Y
